'census_2010_block_id','sector_id','number_of_jobs','census_block_id'
'530330228033054',11,19,14040
'530330228033056',5,23,14034
'530330228033056',7,31,14034
'530330228033056',8,19,14034
'530330228033056',9,3,14034
'530330228033056',10,75,14034
'530330228033056',11,2,14034
'530330228033056',12,2,14034
'530330228033056',13,0,14034
'530330228033057',7,7,14037
'530330228033057',10,20,14037
'530330228033057',11,4,14037
'530330229011000',4,6,3590
'530330229011000',5,1,3590
'530330229011000',7,4,3590
'530330229011000',8,1,3590
'530330229011000',11,1,3590
'530330229011001',2,3,3589
'530330229011001',9,2,3589
'530330229011002',7,3,1522
'530330229011002',10,2,1522
'530330229011002',11,1,1522
'530330229011003',2,5,1521
'530330229011003',5,1,1521
'530330229011003',7,-121,1521
'530330229011003',10,1,1521
'530330229011004',2,-2,12990
'530330229011004',11,1,12990
'530330229011005',7,1,22544
'530330229011006',8,1,1519
'530330229011006',11,5,1519
'530330229011007',7,17,1520
'530330229011008',2,1,1517
'530330229011008',7,1,1517
'530330229011008',11,1,1517
'530330229011009',9,1,24619
'530330229011010',2,1,22543
'530330229011010',7,6,22543
'530330229011010',11,1,22543
'530330229011011',4,1,24617
'530330229011012',4,3,3553
'530330229011012',7,7,3553
'530330229011012',8,98,3553
'530330229011012',9,193,3553
'530330229011012',11,7,3553
'530330229011012',12,1,3553
'530330229011012',13,0,3553
'530330229011014',7,5,24622
'530330229011014',11,1,24622
'530330229011016',7,1,24618
'530330229011017',7,2,24621
'530330229011017',9,1,24621
'530330229011018',7,5,24616
'530330229011018',9,1,24616
'530330229011018',11,1,24616
'530330229011019',7,2,24615
'530330229011019',8,9,24615
'530330229011019',13,0,24615
'530330229011020',4,1,3588
'530330229011020',5,1,3588
'530330229011020',8,1,3588
'530330229011020',9,1,3588
'530330229011022',7,1,3591
'530330229011022',9,1,3591
'530330229011023',7,1,1518
'530330229011024',5,20,3552
'530330229011024',9,2,3552
'530330229011025',7,4,24623
'530330229012003',7,3,11039
'530330229012003',9,8,11039
'530330229012007',1,4,1622
'530330229012007',4,2,1622
'530330229012007',7,13,1622
'530330229012007',8,1,1622
'530330229012007',9,-3,1622
'530330229012007',11,4,1622
'530330229012007',13,86,1622
'530330229012008',4,3,27079
'530330229012008',5,26,27079
'530330229012008',9,1,27079
'530330229012009',2,1,27606
'530330229012009',7,4,27606
'530330229012011',3,1,12989
'530330229012011',4,3,12989
'530330229012011',7,1,12989
'530330229012011',10,3,12989
'530330229012011',11,2,12989
'530330229012014',9,1,12988
'530330229012015',2,2,27081
'530330229012015',7,1,27081
'530330229012015',8,1,27081
'530330229012015',9,4,27081
'530330229012018',7,2,9955
'530330229012018',8,2,9955
'530330229012018',9,2,9955
'530330229012018',11,2,9955
'530330229012019',7,2,27080
'530330229012019',10,1,27080
'530330229012020',5,1,12577
'530330229012020',7,1,12577
'530330229012021',2,3,3593
'530330229012021',3,5,3593
'530330229012021',7,5,3593
'530330229012021',9,1,3593
'530330229012022',4,1,3592
'530330229012022',5,1,3592
'530330229021000',7,8,16116
'530330229021000',9,4,16116
'530330229021000',11,1,16116
'530330229021001',7,1,26609
'530330229021001',9,2,26609
'530330229021002',7,2,12295
'530330229021002',8,0,12295
'530330229021002',11,1,12295
'530330229021002',13,1,12295
'530330229021004',7,3,12294
'530330229021006',7,1,25586
'530330229021008',2,2,8250
'530330229021008',4,2,8250
'530330229021008',5,1,8250
'530330229021008',7,13,8250
'530330229021008',9,2,8250
'530330229021008',11,5,8250
'530330229021009',5,1,24043
'530330229021009',7,2,24043
'530330229021009',11,6,24043
'530330229021010',7,11,5501
'530330229021010',8,5,5501
'530330229021010',9,1,5501
'530330229021010',11,4,5501
'530330229021010',13,57,5501
'530330229021012',7,2,6863
'530330229021012',9,2,6863
'530330229021015',2,2,1528
'530330229021015',3,1,1528
'530330229021015',7,7,1528
'530330229021015',8,1,1528
'530330229021015',11,1,1528
'530330229022000',7,2,10433
'530330229022000',8,1,10433
'530330229022000',9,2,10433
'530330229022001',1,4,10432
'530330229022001',4,2,10432
'530330229022001',5,1,10432
'530330229022001',7,5,10432
'530330229022001',9,0,10432
'530330229022001',11,3,10432
'530330229022003',7,2,20131
'530330229022003',11,3,20131
'530330229022004',7,3,20128
'530330229022005',2,1,20129
'530330229022005',11,1,20129
'530330229022007',2,2,5495
'530330229022007',11,1,5495
'530330229022008',1,2,5498
'530330229022008',7,1,5498
'530330229022009',4,3,5497
'530330229022009',5,1,5497
'530330229022009',7,4,5497
'530330229022010',7,1,14767
'530330229022010',11,2,14767
'530330229022011',5,2,10434
'530330229022014',7,6,14766
'530330229022014',9,1,14766
'530330229022014',11,2,14766
'530330229022016',7,1,14765
'530330229022016',9,2,14765
'530330229023000',1,2,7125
'530330229023000',4,4,7125
'530330229023000',5,24,7125
'530330229023000',9,3,7125
'530330229023000',11,6,7125
'530330229023001',2,2,6113
'530330229023001',4,2,6113
'530330229023001',5,1,6113
'530330229023001',7,8,6113
'530330229023001',9,20,6113
'530330229023001',11,7,6113
'530330229023004',2,2,12755
'530330229023004',7,7,12755
'530330229023007',8,9,16117
'530330229023007',13,0,16117
'530330229023008',7,2,12292
'530330229023008',8,1,12292
'530330229023010',5,1,12293
'530330229024003',11,17,7126
'530330229024004',2,7,7124
'530330229024004',4,2,7124
'530330229024004',7,16,7124
'530330229024004',9,3,7124
'530330229024004',10,1,7124
'530330229024004',11,16,7124
'530330229024005',2,1,7127
'530330229024005',9,1,7127
'530330229024007',2,2,12993
'530330229024007',5,1,12993
'530330229024007',7,1,12993
'530330229024007',8,2,12993
'530330229024008',2,2,13158
'530330229024008',7,5,13158
'530330229024008',8,1,13158
'530330229024009',2,1,19579
'530330229024009',3,43,19579
'530330229024009',5,1,19579
'530330229024009',7,6,19579
'530330229024009',11,2,19579
'530330229024010',3,1,16120
'530330229024010',4,1,16120
'530330229024010',7,4,16120
'530330229024010',9,7,16120
'530330229024010',11,4,16120
'530330229024011',4,7,10429
'530330229024011',7,7,10429
'530330229024011',10,1,10429
'530330229024012',4,1,22571
'530330229024012',5,1,22571
'530330229024012',7,1,22571
'530330229024012',11,1,22571
'530330229024015',7,4,26533
'530330229024015',9,2,26533
'530330229024015',10,1,26533
'530330229025000',5,1,7812
'530330229025000',7,3,7812
'530330229025000',11,2,7812
'530330229025001',7,3,7813
'530330229025001',11,1,7813
'530330229025002',3,1,11299
'530330229025002',5,1,11299
'530330229025002',7,10,11299
'530330229025002',11,1,11299
'530330229025005',5,1,7892
'530330229025005',7,2,7892
'530330229025005',9,1,7892
'530330229025005',11,1,7892
'530330229025007',5,2,1540
'530330229025007',7,4,1540
'530330229025007',9,2,1540
'530330229025007',11,1,1540
'530330229025009',2,1,13534
'530330229025009',3,1,13534
'530330229025009',7,2,13534
'530330229025009',8,0,13534
'530330229025009',13,13,13534
'530330229025013',11,2,7811
'530330229025014',11,1,25775
'530330229025015',5,1,27083
'530330230001000',2,1,15801
'530330230001000',7,3,15801
'530330230001001',5,7,16057
'530330230001001',7,16,16057
'530330230001001',11,3,16057
'530330230001002',2,4,19683
'530330230001002',7,7,19683
'530330230001002',9,122,19683
'530330230001002',10,2,19683
'530330230001002',11,5,19683
'530330230001003',5,4,19682
'530330230001003',7,3,19682
'530330230001004',7,-1,23873
'530330230001004',11,1,23873
'530330230001005',2,1,17742
'530330230001005',7,12,17742
'530330230001007',7,1,23875
'530330230001007',9,1,23875
'530330230001008',7,2,25768
'530330230001008',11,1,25768
'530330230001009',4,2,25773
'530330230001009',5,1,25773
'530330230001009',7,1,25773
'530330230001009',11,2,25773
'530330230001011',2,2,25767
'530330230001011',7,1,25767
'530330230001013',2,3,5545
'530330230001013',4,2,5545
'530330230001013',7,8,5545
'530330230001013',8,1,5545
'530330230001013',10,12,5545
'530330230001013',11,4,5545
'530330230001014',2,2,5546
'530330230001014',4,1,5546
'530330230001014',9,5,5546
'530330230001016',11,2,5548
'530330230001017',2,1,5547
'530330230001017',4,5,5547
'530330230001017',9,1,5547
'530330230001017',11,2,5547
'530330230001018',9,4,19684
'530330230002001',5,1,3577
'530330230002001',7,39,3577
'530330230002001',9,2,3577
'530330230002002',5,2,3579
'530330230002002',7,3,3579
'530330230002002',9,4,3579
'530330230002002',11,2,3579
'530330230002003',9,5,3581
'530330230002004',2,7,3582
'530330230002004',7,1,3582
'530330230002005',2,2,3580
'530330230002005',7,3,3580
'530330230002005',9,2,3580
'530330230002005',11,1,3580
'530330230002006',7,2,16598
'530330230002006',9,2,16598
'530330230002007',7,3,16513
'530330230002008',11,1,13541
'530330230002009',2,1,13543
'530330230002009',7,2,13543
'530330230002009',9,5,13543
'530330230002009',11,1,13543
'530330230002010',2,3,13542
'530330230002010',7,2,13542
'530330230002010',11,-1,13542
'530330230002011',7,1,16514
'530330230002012',5,1,16599
'530330230002012',11,1,16599
'530330230002013',9,2,13539
'530330230002014',8,2,5507
'530330230002014',9,1,5507
'530330230002014',11,3,5507
'530330230003000',2,2,1523
'530330230003000',7,2,1523
'530330230003000',9,2,1523
'530330230003001',7,5,1525
'530330230003001',8,17,1525
'530330230003001',9,4,1525
'530330230003001',11,1,1525
'530330230003001',13,87,1525
'530330230003003',4,2,3594
'530330230003003',5,1,3594
'530330230003003',7,161,3594
'530330230003003',8,39,3594
'530330230003003',10,1,3594
'530330230003003',11,1,3594
'530330230003003',12,1,3594
'530330230003003',13,204,3594
'530330230003006',2,3,22935
'530330230003008',7,1,3595
'530330230003008',11,2,3595
'530330230003009',4,13,26198
'530330230003009',5,35,26198
'530330230003009',7,740,26198
'530330230003009',9,3,26198
'530330230003010',5,180,14033
'530330230003010',7,37,14033
'530330230003010',10,80,14033
'530330230003010',11,23,14033
'530330230003011',4,1,26199
'530330230003011',5,3,26199
'530330230003011',7,112,26199
'530330230003011',9,8,26199
'530330230003012',7,2,3583
'530330230003012',8,1,3583
'530330230003012',11,3,3583
'530330230003013',7,2,1524
'530330230003013',11,2,1524
'530330230003014',7,35,3576
'530330230003014',9,2,3576
'530330230003015',7,1,1527
'530330230003016',4,1,1526
'530330230003016',7,2,1526
'530330230003016',11,1,1526
'530330230003017',2,5,3584
'530330230003017',7,5,3584
'530330230003018',9,3,3585
'530330230003019',9,1,3586
'530330230003020',7,1,13538
'530330230003021',8,6,14043
'530330230003021',13,29,14043
'530330230003022',2,4,16597
'530330230003022',9,1,16597
'530330230003022',11,1,16597
'530330230004001',3,1,15802
'530330230004001',4,1,15802
'530330230004001',5,1,15802
'530330230004001',7,1,15802
'530330230004001',11,34,15802
'530330230004003',4,2,25769
'530330230004003',11,1,25769
'530330230004004',7,1,27084
'530330230004004',9,1,27084
'530330230004006',3,1,1537
'530330230004006',4,1,1537
'530330230004006',7,3,1537
'530330230004006',8,10,1537
'530330230004006',9,4,1537
'530330230004006',11,5,1537
'530330230004006',13,52,1537
'530330230004007',2,1,1538
'530330230004007',4,2,1538
'530330230004007',5,1,1538
'530330230004007',7,8,1538
'530330230004007',9,1,1538
'530330230004007',11,4,1538
'530330230004008',3,2,13536
'530330230004008',7,6,13536
'530330230004008',9,3,13536
'530330230004008',10,1,13536
'530330230004008',11,1,13536
'530330230004010',2,2,20380
'530330230004011',2,2,25704
'530330230004011',8,1,25704
'530330230004011',9,1,25704
'530330230004011',11,1,25704
'530330230004011',13,2,25704
'530330230004012',4,3,5542
'530330230004012',5,1,5542
'530330230004012',7,3,5542
'530330230004013',7,2,5544
'530330230004014',3,1,5543
'530330230004015',7,26,5541
'530330230004015',9,2,5541
'530330230004016',5,1,25761
'530330230004017',11,1,25765
'530330230004018',4,2,25764
'530330230004018',7,2,25764
'530330230004019',7,1,25762
'530330230004019',11,1,25762
'530330230004020',3,1,25763
'530330230004020',5,1,25763
'530330230004020',7,2,25763
'530330231001001',9,3,13540
'530330231001002',7,1,19319
'530330231001003',7,2,19318
'530330231001003',9,1,19318
'530330231001004',4,2,19300
'530330231001004',7,4,19300
'530330231001004',9,2,19300
'530330231001005',4,1,19301
'530330231001005',7,1,19301
'530330231001005',11,1,19301
'530330231001006',7,4,19302
'530330231001006',9,1,19302
'530330231001006',11,2,19302
'530330231001007',7,2,19294
'530330231001007',8,1,19294
'530330231001008',7,3,19296
'530330231001008',11,1,19296
'530330231001009',5,1,13544
'530330231001009',7,7,13544
'530330231001009',11,1,13544
'530330231001010',9,2,19295
'530330231001010',11,1,19295
'530330231001011',7,1,19298
'530330231001012',2,4,19297
'530330231001012',7,2,19297
'530330231001013',7,3,19309
'530330231001013',11,1,19309
'530330231001014',7,1,19310
'530330231001014',8,1,19310
'530330231002000',5,1,13537
'530330231002000',7,3,13537
'530330231002000',8,1,13537
'530330231002000',9,2,13537
'530330231002000',12,21,13537
'530330231002001',1,2,16595
'530330231002001',2,2,16595
'530330231002001',5,1,16595
'530330231002001',9,3,16595
'530330231002002',7,2,16596
'530330231002002',9,1,16596
'530330231002003',5,1,13535
'530330231002003',7,6,13535
'530330231002003',9,2,13535
'530330231002004',2,2,16591
'530330231002004',4,1,16591
'530330231002004',5,18,16591
'530330231002004',7,2,16591
'530330231002004',11,1,16591
'530330231002005',7,5,16592
'530330231002005',9,1,16592
'530330231002005',11,1,16592
'530330231002006',2,1,16593
'530330231002006',7,1,16593
'530330231002006',9,1,16593
'530330231002006',11,6,16593
'530330231002007',7,2,16594
'530330231002008',2,2,19299
'530330231002008',9,3,19299
'530330231002009',7,2,19291
'530330231002009',9,4,19291
'530330231002010',9,1,19292
'530330231002010',11,1,19292
'530330231002011',8,2,19290
'530330231002011',9,3,19290
'530330231002011',13,0,19290
'530330231002012',5,1,19289
'530330231002013',4,1,19287
'530330231002013',7,3,19287
'530330231002013',11,1,19287
'530330231002014',5,1,19288
'530330231002014',9,1,19288
'530330231002014',10,1,19288
'530330231002014',11,2,19288
'530330231002015',8,1,19276
'530330231002015',9,5,19276
'530330231003001',7,1,18064
'530330231003002',9,1,18066
'530330231003003',9,3,19308
'530330231003003',11,2,19308
'530330231003004',3,2,18063
'530330231003004',4,14,18063
'530330231003004',7,17,18063
'530330231003004',9,5,18063
'530330231003004',10,16,18063
'530330231003004',11,2,18063
'530330231003005',2,4,26415
'530330231003005',7,5,26415
'530330231003005',11,1,26415
'530330231003007',5,-1,18065
'530330231003007',7,-1,18065
'530330231003007',9,2,18065
'530330231003007',10,-16,18065
'530330231003007',11,-11,18065
'530330231003008',7,3,16510
'530330231003008',9,4,16510
'530330231003008',10,1,16510
'530330231003011',2,3,748
'530330231003011',4,1,748
'530330231003011',5,1,748
'530330231003011',7,13,748
'530330231003011',8,1,748
'530330231003011',9,3,748
'530330231003011',11,7,748
'530330231003012',4,2,24044
'530330231003012',7,1,24044
'530330231003013',5,1,26847
'530330231003013',7,3,26847
'530330231003013',8,1,26847
'530330232011000',3,1,8469
'530330232011000',5,22,8469
'530330232011000',7,3,8469
'530330232011001',2,3,3527
'530330232011001',9,2,3527
'530330232011001',11,1,3527
'530330232011002',4,1,3528
'530330232011002',7,6,3528
'530330232011002',9,2,3528
'530330232011003',5,6,18885
'530330232011004',5,1,3512
'530330232011004',7,3,3512
'530330232011004',8,1,3512
'530330232011004',9,2,3512
'530330232011004',11,1,3512
'530330232011005',7,8,8468
'530330232011005',11,1,8468
'530330232011006',7,2,19316
'530330232011006',8,3,19316
'530330232011006',9,1,19316
'530330232011006',11,1,19316
'530330232011007',2,6,19317
'530330232011007',7,1,19317
'530330232011007',9,1,19317
'530330232011007',11,1,19317
'530330232011008',5,1,10568
'530330232011008',7,3,10568
'530330232011008',8,0,10568
'530330232011008',9,2,10568
'530330232011008',13,77,10568
'530330232011009',2,1,17740
'530330232011009',4,50,17740
'530330232011009',5,-3,17740
'530330232011009',7,10,17740
'530330232011009',9,4,17740
'530330232011009',10,2,17740
'530330232011009',11,0,17740
'530330232011010',2,2,17741
'530330232011010',4,164,17741
'530330232011010',7,23,17741
'530330232011010',9,20,17741
'530330232011010',11,4,17741
'530330232011011',7,3,19286
'530330232011011',8,1,19286
'530330232011012',5,1,19281
'530330232012000',2,-1,12656
'530330232012000',3,2,12656
'530330232012000',4,2,12656
'530330232012000',7,16,12656
'530330232012000',9,1,12656
'530330232012000',10,1,12656
'530330232012000',11,3,12656
'530330232012001',2,2,7800
'530330232012001',4,1,7800
'530330232012001',7,5,7800
'530330232012001',8,2,7800
'530330232012001',9,87,7800
'530330232012001',11,2,7800
'530330232012002',2,2,
'530330232012003',2,3,298
'530330232012003',3,3,298
'530330232012003',4,1,298
'530330232012003',5,1,298
'530330232012003',7,5,298
'530330232012003',8,2,298
'530330232012003',9,3,298
'530330232012003',11,5,298
'530330232012004',7,1,299
'530330232012004',11,1,299
'530330232012005',2,1,13917
'530330232012005',4,5,13917
'530330232012005',5,2,13917
'530330232012005',7,2,13917
'530330232012005',9,3,13917
'530330232012008',4,1,8488
'530330232012008',7,9,8488
'530330232012010',7,3,8489
'530330232012010',8,1,8489
'530330232012011',9,2,8487
'530330232012012',7,24,14047
'530330232012012',8,2,14047
'530330232012012',9,5,14047
'530330232012012',11,1,14047
'530330232012012',12,79,14047
'530330232012012',13,0,14047
'530330232013000',5,1,14038
'530330232013000',7,41,14038
'530330232013000',9,103,14038
'530330232013000',11,1,14038
'530330232013001',2,2,14035
'530330232013001',7,56,14035
'530330232013001',8,0,14035
'530330232013001',9,84,14035
'530330232013001',11,1,14035
'530330232013001',13,2,14035
'530330232013002',4,1,
'530330232013002',5,1,
'530330232013002',7,5,
'530330232013002',9,1,
'530330232013003',4,1,
'530330232013003',7,1,
'530330232013004',5,1,8486
'530330232013004',7,30,8486
'530330232013004',8,4,8486
'530330232013004',9,89,8486
'530330232013004',10,4,8486
'530330232013004',11,0,8486
'530330232013004',13,90,8486
'530330232013005',2,81,14039
'530330232013005',4,1,14039
'530330232013005',7,55,14039
'530330232013005',8,1,14039
'530330232013005',9,22,14039
'530330232013005',10,1,14039
'530330232013005',11,8,14039
'530330232013006',4,2,14049
'530330232013006',5,28,14049
'530330232013006',7,19,14049
'530330232013006',8,1,14049
'530330232013006',9,11,14049
'530330232013006',10,124,14049
'530330232013006',11,13,14049
'530330232013006',13,8,14049
'530330232021000',7,1,14042
'530330232021000',9,3,14042
'530330232021000',10,4,14042
'530330232021000',11,0,14042
'530330232021002',2,1,7513
'530330232021002',4,1,7513
'530330232021002',5,1,7513
'530330232021002',7,13,7513
'530330232021002',9,5,7513
'530330232021002',11,5,7513
'530330232021003',2,4,10035
'530330232021003',3,7,10035
'530330232021003',4,20,10035
'530330232021003',5,164,10035
'530330232021003',7,166,10035
'530330232021003',8,16,10035
'530330232021003',9,134,10035
'530330232021003',10,271,10035
'530330232021003',11,96,10035
'530330232021003',12,29,10035
'530330232021003',13,0,10035
'530330232021004',2,1,14048
'530330232021004',3,10,14048
'530330232021004',4,3,14048
'530330232021004',5,217,14048
'530330232021004',7,32,14048
'530330232021004',9,-3,14048
'530330232021004',10,102,14048
'530330232021004',11,17,14048
'530330232021005',4,2,14045
'530330232021005',7,24,14045
'530330232021005',9,18,14045
'530330232021006',3,1,14046
'530330232021006',5,5,14046
'530330232021006',7,3,14046
'530330232021006',9,77,14046
'530330232021006',11,2,14046
'530330232021006',12,25,14046
'530330232022000',1,2,16686
'530330232022000',2,2,16686
'530330232022000',4,-41,16686
'530330232022000',5,22,16686
'530330232022000',7,176,16686
'530330232022000',8,12,16686
'530330232022000',9,30,16686
'530330232022000',11,10,16686
'530330232022000',12,131,16686
'530330232022000',13,0,16686
'530330232022001',2,4,16687
'530330232022001',7,1,16687
'530330232022001',8,76,16687
'530330232022001',11,1,16687
'530330232022001',13,0,16687
'530330232022002',2,1,19277
'530330232022002',7,2,19277
'530330232022004',7,-1,17739
'530330232022005',7,4,19282
'530330232022005',9,4,19282
'530330232022006',4,2,19283
'530330232022006',9,1,19283
'530330232022007',9,2,19272
'530330232022008',9,1,19274
'530330232022008',11,1,19274
'530330232022009',3,1,19275
'530330232022009',7,3,19275
'530330232022009',8,5,19275
'530330232022009',9,1,19275
'530330232022009',13,0,19275
'530330232022010',9,2,19278
'530330232022010',11,1,19278
'530330232022011',9,1,19273
'530330232022012',7,1,19284
'530330232023000',3,1,
'530330232023000',7,1,
'530330232023001',9,2,14041
'530330232023002',7,1,
'530330232023003',2,1,
'530330232023003',7,1,
'530330232023003',11,1,
'530330232023004',4,2,14036
'530330232023004',7,8,14036
'530330232023004',9,19,14036
'530330232023007',4,1,14044
'530330232023007',7,1,14044
'530330232023007',8,2,14044
'530330232023007',9,9,14044
'530330232023007',11,1,14044
'530330232023008',2,3,10036
'530330232023008',7,1,10036
'530330232023008',9,4,10036
'530330232023009',11,2,
'530330233001000',4,2,19248
'530330233001000',8,1,19248
'530330233001000',9,13,19248
'530330233001000',11,1,19248
'530330233001001',7,1,19254
'530330233001001',9,2,19254
'530330233001001',11,1,19254
'530330233001002',7,8,19255
'530330233001003',9,1,19256
'530330233001003',11,1,19256
'530330233001004',7,2,19253
'530330233001004',9,1,19253
'530330233001005',7,2,19252
'530330233001007',7,1,19247
'530330233001008',2,2,19239
'530330233001008',7,1,19239
'530330233001008',11,1,19239
'530330233001009',2,4,19240
'530330233001010',7,4,19246
'530330233001010',8,1,19246
'530330233001010',9,2,19246
'530330233001010',11,1,19246
'530330233001011',7,2,19245
'530330233001011',9,1,19245
'530330233001012',7,1,19242
'530330233001012',8,1,19242
'530330233001012',11,3,19242
'530330233001013',11,1,19241
'530330233001015',7,8,23834
'530330233001015',9,1,23834
'530330233001015',11,1,23834
'530330233001016',7,2,23835
'530330233001017',9,1,19243
'530330233001018',2,1,19244
'530330233001018',7,16,19244
'530330233001019',2,1,1212
'530330233001019',4,6,1212
'530330233001019',7,10,1212
'530330233001019',8,2,1212
'530330233001019',9,2,1212
'530330233001019',11,18,1212
'530330233001020',11,1,23837
'530330233001021',7,2,23836
'530330233001024',5,3,744
'530330233001024',7,2,744
'530330233001024',9,10,744
'530330233001024',11,1,744
'530330233001025',7,17,1214
'530330233001025',9,3,1214
'530330233001025',11,2,1214
'530330233001028',4,9,19333
'530330233001028',7,2,19333
'530330233001030',2,3,746
'530330233001030',5,1,746
'530330233001030',7,2,746
'530330233001030',9,2,746
'530330233001030',11,2,746
'530330233001031',7,0,19681
'530330233001032',7,4,745
'530330233001033',7,2,747
'530330233001033',11,1,747
'530330233002000',7,1,19237
'530330233002000',9,8,19237
'530330233002001',7,2,19236
'530330233002001',9,1,19236
'530330233002002',7,-1,19235
'530330233002003',4,1,19234
'530330233002003',7,1,19234
'530330233002003',10,1,19234
'530330233002004',2,4,19233
'530330233002004',7,2,19233
'530330233002004',8,1,19233
'530330233002005',11,1,19238
'530330233002006',5,1,1217
'530330233002006',7,3,1217
'530330233002006',8,9,1217
'530330233002006',9,3,1217
'530330233002006',13,172,1217
'530330233002007',7,3,19230
'530330233002007',9,3,19230
'530330233002007',11,2,19230
'530330233002008',7,1,19231
'530330233002008',8,2,19231
'530330233002008',9,1,19231
'530330233002009',2,1,11975
'530330233002010',1,2,1210
'530330233002010',2,2,1210
'530330233002010',4,1,1210
'530330233002010',7,6,1210
'530330233002010',9,4,1210
'530330233002010',11,118,1210
'530330233002010',12,1,1210
'530330233002011',7,2,1209
'530330233002012',7,1,19232
'530330233002012',11,2,19232
'530330233003000',4,1,17738
'530330233003000',5,1,17738
'530330233003000',9,4,17738
'530330233003001',3,2,3537
'530330233003001',4,2,3537
'530330233003001',5,103,3537
'530330233003001',7,104,3537
'530330233003001',9,30,3537
'530330233003001',10,87,3537
'530330233003001',11,11,3537
'530330233003001',12,3,3537
'530330233003002',4,1,19304
'530330233003002',7,4,19304
'530330233003002',9,1,19304
'530330233003003',3,1,19305
'530330233003003',5,1,19305
'530330233003003',7,1,19305
'530330233003003',8,1,19305
'530330233003003',9,1,19305
'530330233003003',10,1,19305
'530330233003004',2,2,19306
'530330233003004',7,1,19306
'530330233003005',1,1,19266
'530330233003005',5,2,19266
'530330233003005',7,13,19266
'530330233003005',10,4,19266
'530330233003005',11,16,19266
'530330233003007',7,2,11973
'530330233003007',11,1,11973
'530330233003008',7,3,11974
'530330233003008',9,2,11974
'530330233003008',11,2,11974
'530330233003009',2,2,11969
'530330233003009',7,3,11969
'530330233003009',8,6,11969
'530330233003009',9,1,11969
'530330233003009',12,15,11969
'530330233003009',13,0,11969
'530330233003010',2,2,11967
'530330233003010',7,1,11967
'530330233003010',9,2,11967
'530330233003010',11,1,11967
'530330233003011',5,7,11968
'530330233003011',7,6,11968
'530330233003011',9,13,11968
'530330233003011',11,3,11968
'530330233003012',5,1,11971
'530330233003012',7,1,11971
'530330233003013',7,20,1218
'530330233003013',9,44,1218
'530330233003013',11,1,1218
'530330233003013',12,10,1218
'530330233003015',2,3,11970
'530330233003015',4,1,11970
'530330233003015',7,2,11970
'530330233003015',9,1,11970
'530330233004000',2,1,19270
'530330233004000',5,1,19270
'530330233004003',9,3,19280
'530330233004004',5,1,19279
'530330233004004',7,2,19279
'530330233004004',9,1,19279
'530330233004004',11,1,19279
'530330233004005',7,3,19271
'530330233004005',9,2,19271
'530330233004006',7,4,19264
'530330233004006',9,6,19264
'530330233004007',7,2,19263
'530330233004007',8,1,19263
'530330233004007',9,1,19263
'530330233004007',11,2,19263
'530330233004008',7,8,19268
'530330233004009',7,4,19267
'530330233004011',2,1,19258
'530330233004011',5,1,19258
'530330233004011',7,4,19258
'530330233004012',4,6,19262
'530330233004012',5,3,19262
'530330233004012',7,5,19262
'530330233004012',8,1,19262
'530330233004012',11,1,19262
'530330233004013',2,1,19261
'530330233004013',7,3,19261
'530330233004014',2,2,19257
'530330233004014',7,1,19257
'530330233004014',8,1,19257
'530330233004014',9,3,19257
'530330233004014',11,1,19257
'530330233004015',5,1,19259
'530330233004015',7,0,19259
'530330233004015',11,2,19259
'530330233004016',3,1,19265
'530330233004016',7,2,19265
'530330233004016',8,1,19265
'530330233004017',2,1,19227
'530330233004018',2,2,19228
'530330233004018',7,7,19228
'530330233004019',2,2,19229
'530330233004019',9,2,19229
'530330233004019',10,1,19229
'530330234011000',4,5,1226
'530330234011002',7,5,25172
'530330234011002',9,2,25172
'530330234011003',7,9,23829
'530330234011004',7,1,1222
'530330234011005',5,1,1211
'530330234011005',7,4,1211
'530330234011005',9,-3,1211
'530330234011005',11,2,1211
'530330234011006',7,61,1215
'530330234011006',9,9,1215
'530330234011006',12,1,1215
'530330234011010',8,29,1221
'530330234011010',13,19,1221
'530330234011011',11,1,1223
'530330234011012',2,1,23832
'530330234011012',5,1,23832
'530330234011013',5,1,23830
'530330234011013',7,1,23830
'530330234011014',11,1,23831
'530330234011015',5,1,25174
'530330234011016',1,2,25175
'530330234011016',2,3,25175
'530330234011017',7,3,25176
'530330234011017',8,38,25176
'530330234011017',13,25,25176
'530330234011018',7,1,1224
'530330234011019',5,1,1225
'530330234011019',7,1,1225
'530330234011019',8,6,1225
'530330234011019',9,9,1225
'530330234011019',11,2,1225
'530330234011019',13,4,1225
'530330234011020',2,4,1220
'530330234011020',4,1,1220
'530330234011020',7,1,1220
'530330234012000',4,1,25177
'530330234012000',7,10,25177
'530330234012000',8,1,25177
'530330234012000',9,1,25177
'530330234012000',10,0,25177
'530330234012000',11,2,25177
'530330234012001',9,1,25178
'530330234012002',7,1,22481
'530330234012003',2,2,22480
'530330234012003',5,7,22480
'530330234012003',7,4,22480
'530330234012003',10,0,22480
'530330234012003',11,1,22480
'530330234012004',4,66,26365
'530330234012004',7,1,26365
'530330234012004',9,2,26365
'530330234012004',11,1,26365
'530330234012005',7,3,22482
'530330234012006',7,2,25179
'530330234012007',7,2,3406
'530330234012007',9,1,3406
'530330234012008',2,8,20333
'530330234012008',7,2,20333
'530330234012008',9,23,20333
'530330234012010',2,1,5379
'530330234012010',4,4,5379
'530330234012010',5,5,5379
